scenario,sample,preparationMs,knowledgeMs,providerMs,persistenceMs,sendMs,receiptToSendMs,ackMs
worker_crash,13,0,0,0,0,0,0,0
worker_crash,14,0,0,0,0,0,0,1
worker_crash,15,0,0,0,0,0,0,0
worker_crash,16,0,0,0,0,0,0,1
worker_crash,17,0,0,0,0,0,0,0
worker_crash,18,0,0,1,0,0,1,0
worker_crash,19,0,0,0,0,0,0,0
worker_crash,20,0,0,1,0,0,1,0
worker_crash,21,0,0,0,0,0,0,0
worker_crash,22,1,0,0,0,0,1,0
worker_crash,23,0,0,0,0,0,0,1
worker_crash,24,0,0,0,0,0,0,0
worker_crash,25,0,0,1,0,0,1,0
worker_crash,26,0,0,0,0,0,0,0
worker_crash,27,1,0,0,0,0,1,0
worker_crash,28,0,0,0,0,0,0,0
worker_crash,29,0,0,0,0,0,0,0
worker_crash,30,0,0,0,0,0,0,0
